Common Name,Scientific Name
Eurasian Moorhen,Gallinula chloropus
Common Gallinule,Gallinula galeata
Dusky Moorhen,Gallinula tenebrosa
Weka,Gallirallus australis
Buff-banded Rail,Gallirallus philippensis
Barred Rail,Gallirallus torquatus
Sri Lanka Spurfowl,Galloperdix bicalcarata
Red Spurfowl,Galloperdix spadicea
Red Junglefowl,Gallus gallus
Sri Lanka Junglefowl,Gallus lafayettii
Gray Junglefowl,Gallus sonneratii
Green Junglefowl,Gallus varius
Pearl Kite,Gampsonyx swainsonii
White-hooded Babbler,Gampsorhynchus rufulus
Collared Babbler,Gampsorhynchus torquatus
Chinese Hwamei,Garrulax canorus
White-crested Laughingthrush,Garrulax leucolophus
Black-hooded Laughingthrush,Garrulax milleti
Lesser Necklaced Laughingthrush,Garrulax monileger
Sunda Laughingthrush,Garrulax palliatus
White-necked Laughingthrush,Garrulax strepitans
Taiwan Hwamei,Garrulax taewanus
Eurasian Jay,Garrulus glandarius
Black-headed Jay,Garrulus lanceolatus
Lidth's Jay,Garrulus lidthi
Eastern Narrow-mouthed Toad,Gastrophryne carolinensis
Great Plains Narrow-mouthed Toad,Gastrophryne olivacea
Yellow-billed Loon,Gavia adamsii
Arctic Loon,Gavia arctica
Common Loon,Gavia immer
Pacific Loon,Gavia pacifica
Red-throated Loon,Gavia stellata
Mangrove Honeyeater,Gavicalis fasciogularis
Singing Honeyeater,Gavicalis virescens
Pale-headed Woodpecker,Gecinulus grantia
Bamboo Woodpecker,Gecinulus viridis
Gull-billed Tern,Gelochelidon nilotica
Striated Earthcreeper,Geocerthia serrana
Greater Roadrunner,Geococcyx californianus
Lesser Roadrunner,Geococcyx velox
Red-cheeked Parrot,Geoffroyus geoffroyi
Singing Parrot,Geoffroyus heteroclitus
Orange-headed Thrush,Geokichla citrina
Orange Ground-Thrush,Geokichla gurneyi
Spotted Ground-Thrush,Geokichla guttata
Orange-banded Thrush,Geokichla peronii
Abyssinian Ground-Thrush,Geokichla piaggiae
Siberian Thrush,Geokichla sibirica
Spot-winged Thrush,Geokichla spiloptera
Bar-shouldered Dove,Geopelia humeralis
Peaceful Dove,Geopelia placida
Zebra Dove,Geopelia striata
Short-billed Miner,Geositta antarctica
Common Miner,Geositta cunicularia
Puna Miner,Geositta punensis
Rufous-banded Miner,Geositta rufipennis
Slender-billed Miner,Geositta tenuirostris
Ash-breasted Sierra Finch,Geospizopsis plebejus
Plumbeous Sierra Finch,Geospizopsis unicolor
Masked Yellowthroat,Geothlypis aequinoctialis
Belding's Yellowthroat,Geothlypis beldingi
Kentucky Warbler,Geothlypis formosa
Hooded Yellowthroat,Geothlypis nelsoni
Mourning Warbler,Geothlypis philadelphia
Gray-crowned Yellowthroat,Geothlypis poliocephala
Bahama Yellowthroat,Geothlypis rostrata
Olive-crowned Yellowthroat,Geothlypis semiflava
Black-polled Yellowthroat,Geothlypis speciosa
MacGillivray's Warbler,Geothlypis tolmiei
Common Yellowthroat,Geothlypis trichas
Key West Quail-Dove,Geotrygon chrysia
Ruddy Quail-Dove,Geotrygon montana
Violaceous Quail-Dove,Geotrygon violacea
White-tailed Hawk,Geranoaetus albicaudatus
Black-chested Buzzard-Eagle,Geranoaetus melanoleucus
Variable Hawk,Geranoaetus polyosoma
Crane Hawk,Geranospiza caerulescens
Northern Bald Ibis,Geronticus eremita
Green-backed Gerygone,Gerygone chloronota
Fan-tailed Gerygone,Gerygone flavolateralis
Western Gerygone,Gerygone fusca
Gray Gerygone,Gerygone igata
Mangrove Gerygone,Gerygone levigaster
Large-billed Gerygone,Gerygone magnirostris
Brown Gerygone,Gerygone mouki
White-throated Gerygone,Gerygone olivacea
Fairy Gerygone,Gerygone palpebrosa
Golden-bellied Gerygone,Gerygone sulphurea
Small Pratincole,Glareola lactea
Oriental Pratincole,Glareola maldivarum
Collared Pratincole,Glareola pratincola
Lavender Waxbill,Glaucestrilda caerulescens
Yungas Pygmy-Owl,Glaucidium bolivianum
Ferruginous Pygmy-Owl,Glaucidium brasilianum
African Barred Owlet,Glaucidium capense
Javan Owlet,Glaucidium castanopterum
Chestnut-backed Owlet,Glaucidium castanotum
Costa Rican Pygmy-Owl,Glaucidium costaricanum
Asian Barred Owlet,Glaucidium cuculoides
Northern Pygmy-Owl,Glaucidium gnoma
Central American Pygmy-Owl,Glaucidium griseiceps
Amazonian Pygmy-Owl,Glaucidium hardyi
Andean Pygmy-Owl,Glaucidium jardinii
Least Pygmy-Owl,Glaucidium minutissimum
Austral Pygmy-Owl,Glaucidium nana
Cloud-forest Pygmy-Owl,Glaucidium nubicola
Colima Pygmy-Owl,Glaucidium palmarum
Subtropical Pygmy-Owl,Glaucidium parkeri
Eurasian Pygmy-Owl,Glaucidium passerinum
Pearl-spotted Owlet,Glaucidium perlatum
Peruvian Pygmy-Owl,Glaucidium peruanum
Jungle Owlet,Glaucidium radiatum
Tamaulipas Pygmy-Owl,Glaucidium sanchezi
Cuban Pygmy-Owl,Glaucidium siju
Red-chested Owlet,Glaucidium tephronotum
Hook-billed Hermit,Glaucis dohrnii
Rufous-breasted Hermit,Glaucis hirsutus
Tawny-crowned Honeyeater,Gliciphila melanops
Musk Lorikeet,Glossopsitta concinna
Wedge-billed Woodcreeper,Glyphorynchus spirurus
Chopi Blackbird,Gnorimopsar chopi
Malayan Night-Heron,Gorsachius melanolophus
Southern Hill Myna,Gracula indica
Sri Lanka Myna,Gracula ptilogenys
Common Hill Myna,Gracula religiosa
Asian Pied Starling,Gracupica contra
Black-collared Starling,Gracupica nigricollis
White-throated Antpitta,Grallaria albigula
Moustached Antpitta,Grallaria alleni
Stripe-headed Antpitta,Grallaria andicolus
Santa Marta Antpitta,Grallaria bangsi
Chestnut Antpitta,Grallaria blakei
Cajamarca Antpitta,Grallaria cajamarcae
Bay Antpitta,Grallaria capitalis
Pale-billed Antpitta,Grallaria carrikeri
Ochre-striped Antpitta,Grallaria dignissima
Red-and-white Antpitta,Grallaria erythroleuca
Rufous-faced Antpitta,Grallaria erythrotis
Yellow-breasted Antpitta,Grallaria flavotincta
Giant Antpitta,Grallaria gigantea
Chachapoyas Antpitta,Grallaria gravesi
Gray-naped Antpitta,Grallaria griseonucha
Scaled Antpitta,Grallaria guatimalensis
Plain-backed Antpitta,Grallaria haplonota
White-bellied Antpitta,Grallaria hypoleuca
Cundinamarca Antpitta,Grallaria kaestneri
Brown-banded Antpitta,Grallaria milleri
Chestnut-naped Antpitta,Grallaria nuchalis
Urubamba Antpitta,Grallaria occabambae
Rusty-tinged Antpitta,Grallaria przewalskii
Tawny Antpitta,Grallaria quitensis
Jocotoco Antpitta,Grallaria ridgelyi
Chestnut-crowned Antpitta,Grallaria ruficapilla
Bicolored Antpitta,Grallaria rufocinerea
Muisca Antpitta,Grallaria rufula
Equatorial Antpitta,Grallaria saturata
Undulated Antpitta,Grallaria squamigera
Urrao Antpitta,Grallaria urraoensis
Variegated Antpitta,Grallaria varia
Watkins's Antpitta,Grallaria watkinsi
Hooded Antpitta,Grallaricula cucullata
Rusty-breasted Antpitta,Grallaricula ferrugineipectus
Ochre-breasted Antpitta,Grallaricula flavirostris
Leymebamba Antpitta,Grallaricula leymebambae
Crescent-faced Antpitta,Grallaricula lineifrons
Slate-crowned Antpitta,Grallaricula nana
Ochre-fronted Antpitta,Grallaricula ochraceifrons
Peruvian Antpitta,Grallaricula peruviana
Magpie-lark,Grallina cyanoleuca
Striated Laughingthrush,Grammatoptila striata
Rose-breasted Chat,Granatellus pelzelni
Gray-throated Chat,Granatellus sallaei
Red-breasted Chat,Granatellus venustus
Purple Grenadier,Granatina ianthinogaster
Painted Honeyeater,Grantiella picta
Short-tailed Parrot,Graydidascalus brachyurus
Whooping Crane,Grus americana
Common Crane,Grus grus
Red-crowned Crane,Grus japonensis
Hooded Crane,Grus monacha
Black-necked Crane,Grus nigricollis
Gryllus assimilis,Gryllus assimilis
Southern Wood Cricket,Gryllus fultoni
Fall Field Cricket,Gryllus pennsylvanicus
Southeastern Field Cricket,Gryllus rubens
Golden Parakeet,Guaruba guarouba
Yellow Cardinal,Gubernatrix cristata
Streamer-tailed Tyrant,Gubernetes yetapa
Guira Cuckoo,Guira guira
Gun,Gun
Crested Guineafowl,Guttera pucherani
White Tern,Gygis alba
Puerto Rican Owl,Gymnasio nudipes
Gray-throated Barbet,Gymnobucco bonapartei
Naked-faced Barbet,Gymnobucco calvus
Bare-crowned Antbird,Gymnocichla nudiceps
Oriole Blackbird,Gymnomystax mexicanus
Duetting Giant-Honeyeater,Gymnomyza brunneirostris
Mao,Gymnomyza samoensis
Bicolored Antbird,Gymnopithys bicolor
White-cheeked Antbird,Gymnopithys leucaspis
Rufous-throated Antbird,Gymnopithys rufigula
Australian Magpie,Gymnorhina tibicen
Pinyon Jay,Gymnorhinus cyanocephalus
Sahel Bush Sparrow,Gymnoris dentata
Yellow-spotted Bush Sparrow,Gymnoris pyrgita
Yellow-throated Bush Sparrow,Gymnoris superciliaris
Yellow-throated Sparrow,Gymnoris xanthocollis
Eurasian Griffon,Gyps fulvus
Himalayan Griffon,Gyps himalayensis
Streaked Wren-Babbler,Gypsophila brevicaudata
Rusty-breasted Wren-Babbler,Gypsophila rufipectus
Black-cheeked Ant-Tanager,Habia atrimaxillaris
Crested Ant-Tanager,Habia cristata
Red-throated Ant-Tanager,Habia fuscicauda
Sooty Ant-Tanager,Habia gutturalis
Red-crowned Ant-Tanager,Habia rubica
Blackish Oystercatcher,Haematopus ater
Black Oystercatcher,Haematopus bachmani
South Island Oystercatcher,Haematopus finschi
Sooty Oystercatcher,Haematopus fuliginosus
Magellanic Oystercatcher,Haematopus leucopodus
Pied Oystercatcher,Haematopus longirostris
Eurasian Oystercatcher,Haematopus ostralegus
American Oystercatcher,Haematopus palliatus
Variable Oystercatcher,Haematopus unicolor
Crimson-headed Partridge,Haematortyx sanguiniceps
Cassin's Finch,Haemorhous cassinii
House Finch,Haemorhous mexicanus
Purple Finch,Haemorhous purpureus
Sooty Antbird,Hafferia fortis
Blue-lored Antbird,Hafferia immaculata
Zeledon's Antbird,Hafferia zeledoni
Brown-hooded Kingfisher,Halcyon albiventris
Chocolate-backed Kingfisher,Halcyon badia
Striped Kingfisher,Halcyon chelicuti
Ruddy Kingfisher,Halcyon coromanda
Brown-breasted Kingfisher,Halcyon gularis
Gray-headed Kingfisher,Halcyon leucocephala
Blue-breasted Kingfisher,Halcyon malimbica
Black-capped Kingfisher,Halcyon pileata
Woodland Kingfisher,Halcyon senegalensis
White-throated Kingfisher,Halcyon smyrnensis
White-tailed Eagle,Haliaeetus albicilla
Lesser Fish-Eagle,Haliaeetus humilis
Gray-headed Fish-Eagle,Haliaeetus ichthyaetus
Bald Eagle,Haliaeetus leucocephalus
White-bellied Sea-Eagle,Haliaeetus leucogaster
Steller's Sea-Eagle,Haliaeetus pelagicus
African Fish-Eagle,Haliaeetus vocifer
Brahminy Kite,Haliastur indus
Whistling Kite,Haliastur sphenurus
Yellow-breasted Crake,Hapalocrex flaviventer
Rusty-faced Parrot,Hapalopsittaca amazonina
Indigo-winged Parrot,Hapalopsittaca fuertesi
White-faced Nunbird,Hapaloptila castanea
Greenish Puffleg,Haplophaedia aureliae
Uniform Finch,Haplospiza unicolor
Philippine Trogon,Harpactes ardens
Diard's Trogon,Harpactes diardii
Scarlet-rumped Trogon,Harpactes duvaucelii
Red-headed Trogon,Harpactes erythrocephalus
Malabar Trogon,Harpactes fasciatus
Red-naped Trogon,Harpactes kasumba
Orange-breasted Trogon,Harpactes oreskios
Cinnamon-rumped Trogon,Harpactes orrhophaeus
Ward's Trogon,Harpactes wardi
Double-toothed Kite,Harpagus bidentatus
Rufous-thighed Kite,Harpagus diodon
Harpy Eagle,Harpia harpyja
New Guinea Eagle,Harpyopsis novaeguineae
Collared Sunbird,Hedydipna collaris
Nile Valley Sunbird,Hedydipna metallica
Pygmy Sunbird,Hedydipna platura
Amethyst-throated Sunangel,Heliangelus amethysticollis
Tourmaline Sunangel,Heliangelus exortis
Purple-throated Sunangel,Heliangelus viola
Slender-billed Kite,Helicolestes hamatus
Sharp-billed Treehunter,Heliobletus contaminatus
Green-crowned Brilliant,Heliodoxa jacula
Violet-fronted Brilliant,Heliodoxa leadbeateri
Fawn-breasted Brilliant,Heliodoxa rubinoides
Plain-capped Starthroat,Heliomaster constantii
Long-billed Starthroat,Heliomaster longirostris
Sungrebe,Heliornis fulica
Black-eared Fairy,Heliothryx auritus
White-browed Spinetail,Hellmayrea gularis
Worm-eating Warbler,Helmitheros vermivorum
Pallas's Grasshopper Warbler,Helopsaltes certhiola
Middendorff's Grasshopper Warbler,Helopsaltes ochotensis
Marsh Grassbird,Helopsaltes pryeri
Heart-spotted Woodpecker,Hemicircus canente
Gray-and-buff Woodpecker,Hemicircus concretus
Akiapolaau,Hemignathus wilsoni
Whiskered Treeswift,Hemiprocne comata
Crested Treeswift,Hemiprocne coronata
Gray-rumped Treeswift,Hemiprocne longipennis
Moustached Treeswift,Hemiprocne mystacea
Black-winged Flycatcher-shrike,Hemipus hirundinaceus
Bar-winged Flycatcher-shrike,Hemipus picatus
Yellow-backed Tanager,Hemithraupis flavicollis
Guira Tanager,Hemithraupis guira
Rufous-headed Tanager,Hemithraupis ruficapilla
Cinnamon-breasted Tody-Tyrant,Hemitriccus cinnamomeipectus
Acre Tody-Tyrant,Hemitriccus cohnhafti
Drab-breasted Pygmy-Tyrant,Hemitriccus diops
Flammulated Pygmy-Tyrant,Hemitriccus flammulatus
Fork-tailed Pygmy-Tyrant,Hemitriccus furcatus
Black-throated Tody-Tyrant,Hemitriccus granadensis
White-bellied Tody-Tyrant,Hemitriccus griseipectus
Pelzeln's Tody-Tyrant,Hemitriccus inornatus
Johannes's Tody-Tyrant,Hemitriccus iohannis
Pearly-vented Tody-Tyrant,Hemitriccus margaritaceiventer
Zimmer's Tody-Tyrant,Hemitriccus minimus
Snethlage's Tody-Tyrant,Hemitriccus minor
Hangnest Tody-Tyrant,Hemitriccus nidipendulus
Brown-breasted Pygmy-Tyrant,Hemitriccus obsoletus
Eye-ringed Tody-Tyrant,Hemitriccus orbitatus
Buff-throated Tody-Tyrant,Hemitriccus rufigularis
Yungas Tody-Tyrant,Hemitriccus spodiops
Stripe-necked Tody-Tyrant,Hemitriccus striaticollis
White-eyed Tody-Tyrant,Hemitriccus zosterops
Chestnut Bulbul,Hemixos castanonotus
Cinereous Bulbul,Hemixos cinereus
Ashy Bulbul,Hemixos flavala
Hermit Wood-Wren,Henicorhina anachoreta
Gray-breasted Wood-Wren,Henicorhina leucophrys
Bar-winged Wood-Wren,Henicorhina leucoptera
White-breasted Wood-Wren,Henicorhina leucosticta
Munchique Wood-Wren,Henicorhina negreti
Laughing Falcon,Herpetotheres cachinnans
Black-capped Antwren,Herpsilochmus atricapillus
Yellow-breasted Antwren,Herpsilochmus axillaris
Spot-backed Antwren,Herpsilochmus dorsimaculatus
Dugand's Antwren,Herpsilochmus dugandi
Rusty-winged Antwren,Herpsilochmus frater
Ancient Antwren,Herpsilochmus gentryi
Large-billed Antwren,Herpsilochmus longirostris
Creamy-bellied Antwren,Herpsilochmus motacilloides
Ash-throated Antwren,Herpsilochmus parkeri
Pectoral Antwren,Herpsilochmus pectoralis
Bahia Antwren,Herpsilochmus pileatus
Roraiman Antwren,Herpsilochmus roraimae
Rufous-margined Antwren,Herpsilochmus rufimarginatus
Caatinga Antwren,Herpsilochmus sellowi
Todd's Antwren,Herpsilochmus stictocephalus
Spot-tailed Antwren,Herpsilochmus sticturus
Orange-crowned Manakin,Heterocercus aurantiivertex
Yellow-crowned Manakin,Heterocercus flavivertex
Flame-crowned Manakin,Heterocercus linteatus
Ashy Robin,Heteromyias albispecularis
Gray-headed Robin,Heteromyias cinereifrons
White-eared Sibia,Heterophasia auricularis
Rufous Sibia,Heterophasia capistrata
Black-headed Sibia,Heterophasia desgodinsi
Gray Sibia,Heterophasia gracilis
Black-backed Sibia,Heterophasia melanoleuca
Long-tailed Sibia,Heterophasia picaoides
Beautiful Sibia,Heterophasia pulchella
Scarlet-browed Tanager,Heterospingus xanthopygius
Booted Eagle,Hieraaetus pennatus
Dark Hawk-Cuckoo,Hierococcyx bocki
Malaysian Hawk-Cuckoo,Hierococcyx fugax
Northern Hawk-Cuckoo,Hierococcyx hyperythrus
Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor
Philippine Hawk-Cuckoo,Hierococcyx pectoralis
Large Hawk-Cuckoo,Hierococcyx sparverioides
Moustached Hawk-Cuckoo,Hierococcyx vagans
Common Hawk-Cuckoo,Hierococcyx varius
Black-winged Stilt,Himantopus himantopus
Pied Stilt,Himantopus leucocephalus
Black-necked Stilt,Himantopus mexicanus
Apapane,Himatione sanguinea
Icterine Warbler,Hippolais icterina
Upcher's Warbler,Hippolais languida
Olive-tree Warbler,Hippolais olivetorum
Melodious Warbler,Hippolais polyglotta
White-throated Needletail,Hirundapus caudacutus
Brown-backed Needletail,Hirundapus giganteus
Cliff Flycatcher,Hirundinea ferruginea
Angola Swallow,Hirundo angolensis
Welcome Swallow,Hirundo neoxena
Barn Swallow,Hirundo rustica
Wire-tailed Swallow,Hirundo smithii
Pacific Swallow,Hirundo tahitica
Harlequin Duck,Histrionicus histrionicus
Rufous-tailed Weaver,Histurgops ruficauda
White-crested Hornbill,Horizocerus albocristatus
Yellowish-bellied Bush Warbler,Horornis acanthizoides
Palau Bush Warbler,Horornis annae
Hume's Bush Warbler,Horornis brunnescens
Manchurian Bush Warbler,Horornis canturians
Japanese Bush Warbler,Horornis diphone
Aberrant Bush Warbler,Horornis flavolivaceus
Brownish-flanked Bush Warbler,Horornis fortipes
Fiji Bush Warbler,Horornis ruficapilla
Philippine Bush Warbler,Horornis seebohmi
Sunda Bush Warbler,Horornis vulcanius
Human non-vocal,Human non-vocal
Human vocal,Human vocal
Human whistle,Human whistle
Band-rumped Storm-Petrel,Hydrobates castro
Leach's Storm-Petrel,Hydrobates leucorhous
Swinhoe's Storm-Petrel,Hydrobates monorhis
European Storm-Petrel,Hydrobates pelagicus
Tristram's Storm-Petrel,Hydrobates tristrami
Little Gull,Hydrocoloeus minutus
Pheasant-tailed Jacana,Hydrophasianus chirurgus
Caspian Tern,Hydroprogne caspia
White-tailed Nightjar,Hydropsalis cayennensis
Ladder-tailed Nightjar,Hydropsalis climacocerca
Spot-tailed Nightjar,Hydropsalis maculicaudus
Scissor-tailed Nightjar,Hydropsalis torquata
Blue-headed Pitta,Hydrornis baudii
Giant Pitta,Hydrornis caeruleus
Blue Pitta,Hydrornis cyaneus
Bar-bellied Pitta,Hydrornis elliotii
Malayan Banded-Pitta,Hydrornis irena
Blue-naped Pitta,Hydrornis nipalensis
Rusty-naped Pitta,Hydrornis oatesi
Bornean Banded-Pitta,Hydrornis schwaneri
Blue-rumped Pitta,Hydrornis soror
Shy Heathwren,Hylacola cauta
Red-billed Woodcreeper,Hylexetastes perrotii
Bar-bellied Woodcreeper,Hylexetastes stresemanni
Uniform Woodcreeper,Hylexetastes uniformis
Green Hylia,Hylia prasina
Pacific Chorus Frog,Hyliola regilla
Gilded Hummingbird,Hylocharis chrysura
Rufous-throated Sapphire,Hylocharis sapphirina
Wood Thrush,Hylocichla mustelina
Tody Motmot,Hylomanes momotula
Spotted Antpitta,Hylopezus macularius
White-browed Antpitta,Hylopezus ochroleucus
Snethlage's Antpitta,Hylopezus paraensis
Streak-chested Antpitta,Hylopezus perspicillatus
Alta Floresta Antpitta,Hylopezus whittakeri
Gray-eyed Greenlet,Hylophilus amaurocephalus
Brown-headed Greenlet,Hylophilus brunneiceps
Scrub Greenlet,Hylophilus flavipes
Olivaceous Greenlet,Hylophilus olivaceus
Ashy-headed Greenlet,Hylophilus pectoralis
Rufous-crowned Greenlet,Hylophilus poicilotis
Gray-chested Greenlet,Hylophilus semicinereus
Lemon-chested Greenlet,Hylophilus thoracicus
Spotted Antbird,Hylophylax naevioides
Spot-backed Antbird,Hylophylax naevius
Dot-backed Antbird,Hylophylax punctulatus
Nava's Wren,Hylorchilus navai
Sumichrast's Wren,Hylorchilus sumichrasti
Spectacled Tyrant,Hymenops perspicillatus
Peters's Twinspot,Hypargos niveoguttatus
Oriole Warbler,Hypergerus atriceps
Russet-throated Puffbird,Hypnelus ruficollis
Guianan Warbling-Antbird,Hypocnemis cantator
Imeri Warbling-Antbird,Hypocnemis flavescens
Yellow-browed Antbird,Hypocnemis hypoxantha
Rondonia Warbling-Antbird,Hypocnemis ochrogyna
Peruvian Warbling-Antbird,Hypocnemis peruviana
Spix's Warbling-Antbird,Hypocnemis striata
Yellow-breasted Warbling-Antbird,Hypocnemis subflava
Band-tailed Antbird,Hypocnemoides maculicauda
Black-chinned Antbird,Hypocnemoides melanopogon
